1-cysPrx_C	159,78,55	#9f4e37
Pyruv_OxRed_insertion	145,92,77	#915c4d
Q4D059-like	148,92,77	#945c4d
QCR10	145,67,45	#91432d
QH-AmDH_gamma	158,76,53	#9e4c35
QIL1	239,243,93	#eff35d
QLQ	199,132,114	#c78472
QPE	198,131,112	#c68370
QRPTase_C	216,179,136	#d8b388
QRPTase_N	91,77,155	#5b4d9b
QSOX_Trx1	192,66,43	#c0422b
QSOX_pErv	141,69,49	#8d4531
QSregVF	165,75,50	#a54b32
QSregVF_b	138,88,74	#8a584a
QTMAN_N	112,53,167	#7035a7
QVR	117,97,48	#756130
QWRF	201,131,112	#c98370
Q_salvage	215,108,78	#d76c4e
QcrA_N	165,107,91	#a56b5b
Qn_am_d_aII	97,66,128	#614280
Qn_am_d_aIII	121,84,158	#79549e
Qn_am_d_aIV	81,45,116	#512d74
QslA	146,75,55	#924b37
QslA_E	228,177,62	#e4b13e
Qua1	201,125,103	#c97d67
Quaking_NLS	145,89,74	#91594a
QueC	217,93,123	#d95d7b
QueF	101,194,67	#65c243
QueF_N	108,156,90	#6c9c5a
QueG_DUF1730	225,135,110	#e1876e
QueH	156,91,214	#9c5bd6
QueT	87,135,141	#57878d
Questin_oxidase	213,100,68	#d56444
Queuosine_synth	162,106,91	#a26a5b
R-HINP1I	69,164,71	#45a447
R1_ABCA1	142,68,48	#8e4430
R2K_2	129,39,110	#81276e
R2K_3	138,48,119	#8a3077
R3H	166,101,83	#a66553
R3H-assoc	225,139,115	#e18b73
RA	124,76,146	#7c4c92
RAB3GAP2_C	213,141,121	#d58d79
RAB3GAP2_N	224,125,157	#e07d9d
RAC_head	143,88,73	#8f5849
RACo_C_ter	73,120,167	#4978a7
RACo_linker	204,101,72	#cc6548
RAD51D_N	116,55,156	#74379c
RAD51_interact	200,94,65	#c85e41
RADX	127,59,147	#7f3b93
RAE1_2_domI_C	159,73,89	#9f4959
RAG1	219,134,111	#db866f
RAG1_imp_bd	163,101,84	#a36554
RAG2	218,115,149	#da7395
RAG2_PHD	52,123,53	#347b35
RAI1	55,139,57	#378b39
RAI16-like	158,226,125	#9ee27d
RALF	209,136,116	#d18874
RALGAPB_N	216,111,82	#d86f52
RAM	162,108,93	#a26c5d
RAMA	204,122,100	#cc7a64
RAMP	223,115,86	#df7356
RAMP4	138,69,50	#8a4532
RAMPs	131,198,247	#83c6f7
RANK_CRD_2	102,136,79	#66884f
RAP	54,151,56	#369738
RAP-1	155,94,77	#9b5e4d
RAP1	216,136,114	#d88872
RAP80_UIM	106,126,230	#6a7ee6
RASSF8-10_RA	167,70,211	#a746d3
RAWUL	111,40,143	#6f288f
RA_2	180,106,214	#b46ad6
RA_3	113,50,143	#71328f
RBB1NT	47,171,47	#2fab2f
RBD	179,109,212	#b36dd4
RBD-FIP	208,105,77	#d0694d
RBDV_coat	139,90,76	#8b5a4c
RBD_DEAH11	92,85,133	#5c5585
RBD_DGKtheta	81,74,125	#514a7d
RBD_LARS1	161,166,88	#a1a658
RBD_RDR6	123,114,176	#7b72b0
RBD_ZCCHC3_1st	207,133,113	#cf8571
RBD_ZCCHC3_2nd	196,121,101	#c47965
RBFA	161,41,58	#a1293a
RBG_BLTP1_3rd	211,172,74	#d3ac4a
RBM1CTR	151,69,46	#97452e
RBM39linker	147,67,45	#93432d
RBP_receptor	221,137,114	#dd8972
RBR	144,65,44	#90412c
RB_A	127,32,49	#7f2031
RB_B	158,31,54	#9e1f36
RC-P840_PscD	226,137,113	#e28971
RCC1	205,109,140	#cd6d8c
RCC1_2	137,67,90	#89435a
RCC_reductase	139,63,42	#8b3f2a
RCDG1	204,91,60	#cc5b3c
RCF1-5-like_lid	121,146,72	#799248
RCR	198,99,72	#c66348
RCS1	144,67,46	#90432e
RCSD	211,105,75	#d3694b
RD3	150,72,51	#964833
RDD	203,93,62	#cb5d3e
RDD1	154,102,87	#9a6657
RDM	223,111,80	#df6f50
RDM3_C	50,63,141	#323f8d
RDR6_2nd	68,63,135	#443f87
RDV-p3	197,131,113	#c58371
REC1	145,88,72	#915848
REC102	222,112,81	#de7051
REC104	166,111,95	#a66f5f
REC114-like	62,58,116	#3e3a74
RECK-like_N	219,136,114	#db8872
RECK-like_dom	149,74,54	#954a36
RED_C	159,75,52	#9f4b34
RED_N	216,142,121	#d88e79
REF	161,84,62	#a1543e
REGB_T4	75,76,185	#4b4cb9
REJ	86,50,121	#563279
RELT	157,75,53	#9d4b35
REPA_OB_2	148,44,178	#942cb2
REP_ORF2-G2P	220,166,118	#dca676
RES	154,168,49	#9aa831
RESP18	212,108,79	#d46c4f
REST_helical	217,142,122	#d98e7a
RETICULATA-like	220,108,77	#dc6c4d
RET_CLD1	124,91,156	#7c5b9c
RET_CLD3	79,46,111	#4f2e6f
RET_CLD4	130,94,166	#825ea6
RET_CRD	219,139,116	#db8b74
REV	203,133,114	#cb8572
REV1_C	216,137,115	#d88973
REV3_N	206,128,106	#ce806a
RE_AccI	158,105,90	#9e695a
RE_Alw26IDE	215,131,108	#d7836c
RE_AlwI	72,202,74	#48ca4a
RE_ApaLI	117,209,119	#75d177
RE_AspBHI_N	161,133,72	#a18548
RE_BanI	116,198,117	#74c675
RE_Bpu10I	62,153,64	#3e9940
RE_BsaWI	85,146,86	#559256
RE_Bsp6I	72,137,73	#488949
RE_BstXI	160,77,54	#a04d36
RE_CfrBI	91,222,93	#5bde5d
RE_Eco29kI	33,112,200	#2170c8
RE_Eco47II	122,207,124	#7acf7c
RE_EcoO109I	121,211,122	#79d37a
RE_HaeII	61,162,63	#3da23f
RE_HaeIII	222,108,77	#de6c4d
RE_HindIII	72,166,74	#48a64a
RE_HindVP	91,213,93	#5bd55d
RE_HpaII	79,209,82	#4fd152
RE_LlaJI	53,145,55	#359137
RE_LlaMI	95,158,96	#5f9e60
RE_MamI	221,140,118	#dd8c76
RE_MjaI	87,208,89	#57d059
RE_NgoBV	61,148,63	#3d943f
RE_NgoFVII	140,100,183	#8c64b7
RE_NgoFVII_C	97,169,77	#61a94d
RE_NgoPII	62,145,64	#3e9140
RE_R_Pab1	150,94,78	#965e4e
RE_SacI	120,224,122	#78e07a
RE_ScaI	85,217,88	#55d958
RE_SinI	93,165,95	#5da55f
RE_TaqI	82,142,83	#528e53
RE_TdeIII	58,154,59	#3a9a3b
RE_XamI	114,203,115	#72cb73
RE_XcyI	99,165,101	#63a565
RE_endonuc	114,202,116	#72ca74
REase-ARP	74,208,77	#4ad04d
RF-1	107,138,29	#6b8a1d
RF3_C	156,85,132	#9c5584
RFC1	164,100,83	#a46453
RFC_C	227,65,189	#e341bd
RFX1_trans_act	205,96,66	#cd6042
RFX5_DNA_bdg	156,100,84	#9c6454
RFX5_N	198,90,60	#c65a3c
RFXA_RFXANK_bdg	218,133,109	#da856d
RFX_DNA_binding	196,202,107	#c4ca6b
RFamide_26RFa	221,103,70	#dd6746
RGCC	202,127,107	#ca7f6b
RGI1	212,137,116	#d48974
RGI_lyase	100,73,126	#64497e
RGL11_C	214,117,149	#d67595
RGM_C	133,69,51	#854533
RGM_N	203,125,104	#cb7d68
RGP	153,45,126	#992d7e
RGS	79,60,131	#4f3c83
RGS-like	138,116,197	#8a74c5
RGS12_us1	205,99,70	#cd6346
RGS12_us2	160,77,54	#a04d36
RGS12_usC	211,94,62	#d35e3e
RGS_DHEX	143,72,53	#8f4835
RH1	200,97,69	#c86145
RH3_dom	84,107,143	#546b8f
RHA1_ro05818_N	154,72,50	#9a4832
RHD3	216,211,69	#d8d345
RHD3_GTPase	68,128,145	#448091
RHD_DNA_bind	62,139,95	#3e8b5f
RHD_RETREG1-3	68,184,70	#44b846
RHD_dimer	96,68,123	#60447b
RHG20_PH	75,71,137	#4b4789
RHG29_45_N	207,127,104	#cf7f68
RHH_1	134,170,226	#86aae2
RHH_10	77,138,232	#4d8ae8
RHH_3	60,96,150	#3c6096
RHH_4	76,104,146	#4c6892
RHH_5	59,93,145	#3b5d91
RHH_6	83,106,142	#536a8e
RHH_7	117,151,204	#7597cc
RHH_8	57,97,158	#39619e
RHH_9	123,156,207	#7b9ccf
RHIM	204,93,63	#cc5d3f
RHINO	163,84,62	#a3543e
RHS	219,142,121	#db8e79
RHSP	80,150,170	#5096aa
RHS_N	214,134,112	#d68670
RHS_repeat	198,125,105	#c67d69
RH_dom	86,162,88	#56a258
RIB43A	223,148,127	#df947f
RIBIOP_C	160,213,83	#a0d553
RIC1	147,94,80	#935e50
RIC3	158,75,52	#9e4b34
RICH	196,98,70	#c46246
RICTOR_M	196,123,103	#c47b67
RICTOR_N	205,134,115	#cd8673
RICTOR_V	226,148,127	#e2947f
RICTOR_phospho	163,74,50	#a34a32
RIF2_ASCE	44,145,173	#2c91ad
RIF2_lid	174,233,59	#aee93b
RIF5_SNase_1	214,128,105	#d68069
RIF5_SNase_2	159,97,79	#9f614f
RIFIN	166,104,73	#a66849
RIG-I_C	205,131,110	#cd836e
RIG-I_C-RD	66,135,52	#428734
RIH_assoc	89,155,57	#599b39
RII_binding_1	213,110,81	#d56e51
RIIa	87,54,155	#57369b
RILP	221,144,123	#dd907b
RIM2a_ZnF	65,118,66	#417642
RIMC1	216,141,121	#d88d79
RIN1	165,98,79	#a5624f
RING_CBP-p300	211,109,81	#d36d51
RINGv	69,125,71	#457d47
RINT1_TIP1	91,154,60	#5b9a3c
RIO1	41,130,38	#298226
RIOX1_C_WH	202,209,101	#cad165
RIP	200,121,100	#c87964
RIP_P131-like	137,62,41	#893e29
RITA	196,90,61	#c45a3d
RIX1	104,145,84	#689154
RKP_N	223,101,67	#df6543
RL	64,55,113	#403771
RL10P_insert	215,100,68	#d76444
RL11D	200,95,66	#c85f42
RLAN	217,105,75	#d9694b
RLI	155,76,124	#9b4c7c
RLIP76_Ral-bd	153,94,77	#995e4d
RLL	225,137,113	#e18971
RLMM_N	119,230,105	#77e669
RM2_Med14	207,107,80	#cf6b50
RM44_endonuclase	129,98,253	#8162fd
RM6_Med14	151,75,54	#974b36
RM8_Med14	144,94,80	#905e50
RMC1_C	162,80,58	#a2503a
RMC1_N	162,81,107	#a2516b
RMD1-3	129,222,84	#81de54
RME-8_N	204,94,63	#cc5e3f
RMF	201,120,98	#c97862
RMI1_C	157,84,178	#9d54b2
RMI1_N	178,82,190	#b252be
RMI1_N_C	122,60,140	#7a3c8c
RMI1_N_N	207,106,78	#cf6a4e
RMI2	115,34,139	#73228b
RMMBL	61,139,85	#3d8b55
RMNT_CmcI	123,55,68	#7b3744
RMP	166,101,83	#a66553
RMP1	88,34,143	#58228f
RNA12	32,120,144	#207890
RNA_GG_bind	101,121,211	#6579d3
RNA_Me_trans	203,58,193	#cb3ac1
RNA_POL_M_15KD	210,68,86	#d24456
RNA_bind	67,57,127	#43397f
RNA_binding	165,86,64	#a55640
RNA_capsid	209,139,119	#d18b77
RNA_helicase	33,136,164	#2188a4
RNA_helicase_helical	216,139,118	#d88b76
RNA_lig_T4_1	139,51,120	#8b3378
RNA_ligase	187,57,159	#bb399f
RNA_pol	145,87,71	#915747
RNA_polI_A14	162,90,156	#a25a9c
RNA_polI_A34	181,177,72	#b5b148
RNA_pol_3_Rpc31	141,66,45	#8d422d
RNA_pol_A_CTD	152,59,214	#983bd6
RNA_pol_A_bac	152,73,51	#984933
RNA_pol_I_A49	138,135,49	#8a8731
RNA_pol_I_TF	91,172,200	#5bacc8
RNA_pol_L	91,131,51	#5b8333
RNA_pol_L_2	118,202,34	#76ca22
RNA_pol_N	208,108,80	#d06c50
RNA_pol_Rbc25	121,36,146	#792492
RNA_pol_Rpa2_4	218,142,121	#da8e79
RNA_pol_Rpb1_1	203,135,116	#cb8774
RNA_pol_Rpb1_2	155,94,77	#9b5e4d
RNA_pol_Rpb1_3	150,90,73	#965a49
RNA_pol_Rpb1_4	138,71,53	#8a4735
RNA_pol_Rpb1_5	201,130,111	#c9826f
RNA_pol_Rpb1_6	220,137,114	#dc8972
RNA_pol_Rpb1_7	143,93,79	#8f5d4f
RNA_pol_Rpb1_R	217,143,123	#d98f7b
RNA_pol_Rpb2_1	140,63,42	#8c3f2a
RNA_pol_Rpb2_2	157,73,50	#9d4932
RNA_pol_Rpb2_3	223,146,125	#df927d
RNA_pol_Rpb2_4	138,88,75	#8a584b
RNA_pol_Rpb2_45	223,147,127	#df937f
RNA_pol_Rpb2_5	203,95,65	#cb5f41
RNA_pol_Rpb2_6	123,153,84	#7b9954
RNA_pol_Rpb2_7	150,74,52	#964a34
RNA_pol_Rpb4	170,60,161	#aa3ca1
RNA_pol_Rpb5_C	160,106,91	#a06a5b
RNA_pol_Rpb5_N	79,210,82	#4fd252
RNA_pol_Rpb6	208,131,110	#d0836e
RNA_pol_Rpb8	165,40,201	#a528c9
RNA_pol_RpbG	169,96,191	#a960bf
RNA_pol_Rpc34	195,205,53	#c3cd35
RNA_pol_Rpc4	142,138,57	#8e8a39
RNA_pol_Rpc82	191,199,59	#bfc73b
RNA_pol_Rpo13	146,97,84	#926154
RNA_pol_inhib	155,100,84	#9b6454
RNA_replicase_B	217,98,65	#d96241
RNAseD_HRDC_C	174,98,168	#ae62a8
RNAse_A_bac	166,99,80	#a66350
RNB	156,102,87	#9c6657
RNF111_N	199,98,70	#c76246
RNF152_C	222,114,84	#de7254
RNF180_C	142,91,77	#8e5b4d
RNF220	166,77,52	#a64d34
RNF34L-like_3rd	129,132,84	#818454
RNHCP	161,77,54	#a14d36
RNPP_C	90,148,62	#5a943e
RNR-II_ins_dom	196,97,70	#c46146
RNR_Alpha	146,93,79	#925d4f
RNR_N	158,76,53	#9e4c35
RNR_OB1_NT	128,73,144	#804990
RNR_inhib	149,71,49	#954731
RNaseH_C	183,104,78	#b7684e
RNaseH_like	63,146,97	#3f9261
RNaseH_pPIWI_RE	136,87,73	#885749
RNase_3_N	226,115,84	#e27354
RNase_E_G	203,95,66	#cb5f42
RNase_E_G_Thio	160,105,90	#a0695a
RNase_H	53,224,123	#35e07b
RNase_H2-Ydr279	199,209,61	#c7d13d
RNase_H2_suC	124,121,64	#7c7940
RNase_HII	35,149,82	#239552
RNase_H_2	60,223,127	#3cdf7f
RNase_II_C_S1	100,23,123	#64177b
RNase_J_C	214,139,118	#d68b76
RNase_J_b_CASP	212,102,72	#d46648
RNase_P-MRP_p29	71,29,123	#471d7b
RNase_PH	84,104,142	#54688e
RNase_PH_C	150,76,55	#964c37
RNase_P_Rpp14	104,41,139	#68298b
RNase_P_p30	157,126,91	#9d7e5b
RNase_P_pop3	216,110,134	#d86e86
RNase_T	73,235,140	#49eb8c
RNase_Y_N	224,103,69	#e06745
RNase_Zc3h12a	203,106,173	#cb6aad
RNase_Zc3h12a_2	214,120,185	#d678b9
ROF	122,78,176	#7a4eb0
ROH1-like	72,42,127	#482a7f
ROK	94,163,230	#5ea3e6
ROKNT	211,99,68	#d36344
ROQ_II	196,202,103	#c4ca67
ROS_MUCR	220,136,99	#dc8863
ROXA-like_wH	208,215,105	#d0d769
RP-C	203,209,108	#cbd16c
RP-C_C	166,102,84	#a66654
RP1-2	215,99,67	#d76343
RP853	142,70,50	#8e4632
RP854	140,67,46	#8c432e
RPA	209,215,117	#d1d775
RPA43_OB	110,53,127	#6e357f
RPAP1_C	196,93,65	#c45d41
RPAP1_N	141,72,52	#8d4834
RPAP2_Rtr1	142,89,74	#8e594a
RPAP3_C	147,91,75	#935b4b
RPA_C	216,223,102	#d8df66
RPA_interact_C	199,122,101	#c77a65
RPA_interact_M	226,113,82	#e27152
RPA_interact_N	215,135,112	#d78770
RPC3_helical	219,131,107	#db836b
RPC5	126,123,47	#7e7b2f
RPC5_C	146,69,48	#924530
RPE65	215,112,146	#d77092
RPEL	151,78,58	#974e3a
RPGR1_C	121,162,65	#79a241
RPM2	154,210,126	#9ad27e
RPN11_C	141,85,69	#8d5545
RPN13_C	218,141,119	#da8d77
RPN1_C	147,73,53	#934935
RPN1_RPN2_N	109,148,90	#6d945a
RPN2_C	203,124,102	#cb7c66
RPN2_N	119,169,95	#77a95f
RPN5_C	140,66,45	#8c422d
RPN6_C_helix	208,218,60	#d0da3c
RPN6_N	126,210,86	#7ed256
RPN7	128,224,81	#80e051
RPN7_PSMD6_C	209,129,107	#d1816b
RPOC_hybrid	122,105,203	#7a69cb
RPOL_N	146,95,81	#925f51
RPS31	218,136,113	#da8871
RPT	215,110,80	#d76e50
RPW8	153,70,48	#994630
RQC	156,163,55	#9ca337
RRF	151,100,86	#976456
RRF_GI	216,111,82	#d86f52
RRG7	116,221,118	#74dd76
RRG8	158,97,80	#9e6150
RRM	209,130,108	#d1826c
RRM_1	96,89,137	#605989
RRM_10	92,80,163	#5c50a3
RRM_2	115,105,172	#7369ac
RRM_3	84,76,130	#544c82
RRM_4	156,73,50	#9c4932
RRM_5	61,51,118	#3d3376
RRM_7	66,56,121	#423879
RRM_8	80,73,119	#504977
RRM_9	96,81,182	#6051b6
RRM_DEAH11	79,71,121	#4f4779
RRM_DME	157,72,48	#9d4830
RRM_NFXL1	109,99,165	#6d63a5
RRM_PARP14_1	93,81,164	#5d51a4
RRM_PARP14_2	116,107,166	#746ba6
RRM_PARP14_3	89,80,138	#59508a
RRM_Rrp7	106,92,186	#6a5cba
RRM_occluded	110,100,167	#6e64a7
RRN3	139,226,96	#8be260
RRN9	223,136,112	#df8870
RRP12_HEAT	106,145,86	#6a9156
RRP14	161,99,82	#a16352
RRP36	219,99,65	#db6341
RRP40_N_mamm	123,107,200	#7b6bc8
RRP40_S1	176,99,199	#b063c7
RRP4_S1	147,39,179	#9327b3
RRP7	138,63,43	#8a3f2b
RRS1	153,78,57	#994e39
RRT14	199,128,108	#c7806c
RRXRR	148,72,50	#944832
RR_TM4-6	160,79,57	#a04f39
RS4NT	208,93,61	#d05d3d
RSB_motif	156,78,57	#9c4e39
RSC4_Ig_like	196,123,103	#c47b67
RSD-2	212,140,120	#d48c78
RSF	147,70,49	#934631
RSN1_7TM	88,249,76	#58f94c
RSN1_TM	159,96,78	#9f604e
RSRP	148,98,84	#946254
RSS_P20	220,134,110	#dc866e
RST	209,101,71	#d16547
RSV_NS2	160,104,89	#a06859
RS_preATP-grasp-like	158,97,108	#9e616c
RTA1	154,49,158	#9a319e
RTBV_P12	141,88,74	#8d584a
RTBV_P46	146,90,75	#925a4b
RTC	80,184,205	#50b8cd
RTC4	159,98,81	#9f6251
RTC_insert	164,105,89	#a46959
RTE1	99,189,93	#63bd5d
RTG2_C	62,51,187	#3e33bb
RTP	197,203,93	#c5cb5d
RTP1_C1	105,151,83	#699753
RTP1_C2	91,147,64	#5b9340
RTP801_C	158,79,57	#9e4f39
RTT107_BRCT_5	88,25,154	#58199a
RTT107_BRCT_6	112,73,154	#70499a
RTTN_N	149,90,74	#955a4a
RTX	206,105,78	#ce694e
RTX_C	155,74,51	#9b4a33
RT_RNaseH	34,155,84	#229b54
RT_RNaseH_2	47,158,93	#2f9e5d
RUBC_PIKBD	143,66,45	#8f422d
RUBY_RBDX	204,125,104	#cc7d68
RUN	214,101,69	#d66545
RUS6_N	210,135,115	#d28773
RVP	93,195,141	#5dc38d
RVP_2	124,203,161	#7ccba1
RVT_1	65,173,78	#41ad4e
RVT_2	40,181,58	#28b53a
RVT_3	96,220,147	#60dc93
RVT_N	146,69,48	#924530
RVT_connect	213,127,103	#d57f67
RVT_thumb	158,105,91	#9e695b
RWD	99,48,147	#633093
RWP-RK	153,95,79	#995f4f
RXLR	100,181,116	#64b574
RXLR_WY	62,136,77	#3e884d
RXT2_N	165,77,53	#a54d35
RXYLT1_C	132,94,168	#845ea8
RXYLT1_N	64,146,168	#4092a8
RYDR_ITPR	136,227,93	#88e35d
RYDR_Jsol	132,215,92	#84d75c
RYYR-CCHC	122,78,85	#7a4e55
R_equi_Vir	208,128,106	#d0806a
Rab15_effector	151,93,77	#975d4d
Rab3-GAP_cat_C	160,106,91	#a06a5b
Rab3-GTPase_cat	200,132,113	#c88471
Rab5-bind	220,135,112	#dc8770
Rab5ip	54,211,131	#36d383
RabGAP-TBC	168,148,89	#a89459
RabGGT_insert	86,58,113	#563a71
RabGap-TBC_2	124,101,33	#7c6521
Rab_bind	203,93,62	#cb5d3e
Rab_eff_C	223,145,123	#df917b
Rabaptin	151,73,52	#974934
Rac1	166,111,96	#a66f60
Raco_middle	201,131,112	#c98370
Rad1	221,47,83	#dd2f53
Rad10	79,138,80	#4f8a50
Rad17	87,184,211	#57b8d3
Rad21_Rec8	197,203,118	#c5cb76
Rad21_Rec8_N	150,94,79	#965e4f
Rad26-like_C	160,71,47	#a0472f
Rad26-like_N	137,89,76	#89594c
Rad26-like_helical_rpts	87,149,57	#579539
Rad33	219,112,82	#db7052
Rad4	71,134,67	#478643
Rad50_zn_hook	225,115,85	#e17355
Rad51	66,133,152	#428598
Rad52_Rad22	123,130,77	#7b824d
Rad54_N	138,61,40	#8a3d28
Rad60-SLD	111,41,144	#6f2990
Rad60-SLD_2	120,52,152	#783498
Rad9	225,54,89	#e13659
Rad9_Rad53_bind	114,239,114	#72ef72
RadC	103,82,161	#6752a1
Radial_spoke	201,98,70	#c96246
Radial_spoke_3	137,66,46	#89422e
Radical_SAM	149,56,222	#9538de
Radical_SAM_2	215,176,131	#d7b083
Radical_SAM_C	143,94,81	#8f5e51
Radical_SAM_N	139,71,52	#8b4734
Radical_SAM_N2	199,219,59	#c7db3b
Raf1_HTH	144,149,76	#90954c
Raf1_N	165,76,52	#a54c34
Raffinose_syn	214,159,93	#d69f5d
Raftlin	221,100,67	#dd6443
Ragweed_pollen	137,89,76	#89594c
Ral	223,100,66	#df6442
RalF_SCD	202,129,108	#ca816c
RamS	138,69,49	#8a4531
Ran-binding	155,77,56	#9b4d38
RanGAP1_C	151,94,79	#975e4f
Ran_BP1	64,55,179	#4037b3
Rap-GAP_dimer	158,78,56	#9e4e38
Rap1-DNA-bind	196,205,62	#c4cd3e
Rap1_C	140,83,67	#8c5343
Rap1_C_Sp	145,65,43	#91412b
Rap1a	158,104,90	#9e685a
RapA_C	157,82,61	#9d523d
RapH_N	218,108,78	#da6c4e
RapZ-like_N	66,134,153	#428699
Rap_GAP	217,105,74	#d9694a
Rapsyn_N	125,213,82	#7dd552
Raptor_N	95,37,107	#5f256b
Ras	98,192,218	#62c0da
RasGAP	148,60,88	#943c58
RasGAP_C	148,68,46	#94442e
RasGEF	207,132,111	#cf846f
RasGEF_N	228,95,139	#e45f8b
RasGEF_N_2	220,72,121	#dc4879
Ras_bdg_2	117,51,148	#753394
Rav1p_C	137,64,43	#89402b
RavJ_Peptidase	46,140,39	#2e8c27
RavZ_C	212,98,66	#d46242
RavZ_cat	91,194,84	#5bc254
Rax2	152,55,87	#983757
Rax2_2	123,145,89	#7b9159
Rax2_3	152,199,81	#98c751
Rb_C	144,74,55	#904a37
RbcS	157,102,87	#9d6657
RbcX	222,109,77	#de6d4d
RbmA-like_FnIII	127,94,160	#7f5ea0
RbpA	226,146,123	#e2927b
RbsD_FucU	153,47,71	#992f47
Rbsn	219,113,84	#db7154
Rbx_binding	233,50,76	#e9324c
RcbX	180,183,81	#b4b751
Rcc01698_C	211,97,65	#d36141
Rcd1	156,219,126	#9cdb7e
Rce1-like	160,99,165	#a063a5
RcnB	222,135,111	#de876f
RcpB	142,70,50	#8e4632
RcpC	54,133,95	#36855f
RcsC	156,170,56	#9caa38
RcsD_ABL	154,168,55	#9aa837
RcsF	96,126,218	#607eda
RctB_central	212,99,68	#d46344
RdDM_RDM1	204,98,69	#cc6245
RdRP	204,97,67	#cc6143
RdRP_1	58,129,67	#3a8143
RdRP_2	56,139,66	#388b42
RdRP_3	34,142,48	#228e30
RdRP_4	86,184,98	#56b862
RdRP_5	44,191,63	#2cbf3f
RdfA	145,66,44	#91422c
RdgC	159,78,55	#9f4e37
Rdx	141,56,39	#8d3827
Read-through	206,107,79	#ce6b4f
Reb1_MybAD	210,219,64	#d2db40
RebB	156,99,84	#9c6354
RecA	37,144,173	#2590ad
RecA_C	203,101,74	#cb654a
RecA_dep_nuc	154,25,107	#9a196b
RecC_C	96,223,99	#60df63
RecD_N	132,136,73	#848849
RecG_N	204,98,69	#cc6245
RecG_dom3_C	161,75,51	#a14b33
RecG_wedge	160,81,184	#a051b8
RecJ_C	162,108,93	#a26c5d
RecJ_C_Deinoc	161,78,56	#a14e38
RecJ_OB	116,63,131	#743f83
RecO_C	159,134,38	#9f8626
RecO_N	149,46,179	#952eb3
RecO_N_2	114,35,137	#722389
RecQ-1-like_HTH	196,204,66	#c4cc42
RecQ5	152,98,83	#986253
RecQ_Zn_bind	154,100,85	#9a6455
RecR	118,195,60	#76c33c
RecR_C	147,89,73	#935949
RecR_HhH	123,79,154	#7b4f9a
RecR_ZnF	103,92,226	#675ce2
RecT	157,75,52	#9d4b34
RecU	113,207,115	#71cf73
RecX	188,58,110	#bc3a6e
RecX_HTH1	204,214,56	#ccd638
RecX_HTH2	142,148,51	#8e9433
RecX_HTH3	156,163,48	#9ca330
Recep_L_domain	107,71,145	#6b4791
Receptor_2B4	91,54,128	#5b3680
Receptor_IA-2	210,109,81	#d26d51
Recombinase	152,156,84	#989c54
Red1	198,94,65	#c65e41
RedAm-like_C	166,160,93	#a6a05d
Redic1-like	146,89,73	#925949
Redoxin	144,82,70	#905246
Reductase_C	227,107,124	#e36b7c
Reeler	79,40,116	#4f2874
Reelin_subrepeat-B	89,128,157	#59809d
Reg_prop	194,98,129	#c26281
Regnase_1_C	149,77,203	#954dcb
Regulator_TrmB	150,106,197	#966ac5
RelA_AH_RIS	150,99,85	#966355
RelA_SpoT	180,78,178	#b44eb2
RelB	130,165,219	#82a5db
RelB-like	197,94,65	#c55e41
RelB_N	222,99,203	#de63cb
RelB_leu_zip	147,88,72	#935848
RelB_transactiv	164,105,89	#a46959
RelE	77,77,186	#4d4dba
Relaxase	245,152,69	#f59845
Relaxase_C	207,124,102	#cf7c66
Relaxase_M	198,120,99	#c67863
RemA-like	177,82,83	#b15253
Remorin_C	159,71,47	#9f472f
Remorin_N	217,136,114	#d98872
Renin_r	150,93,77	#965d4d
Reo_P9	142,65,43	#8e412b
Reo_sigma1	132,146,60	#84923c
Reo_sigmaC	127,139,62	#7f8b3e
Reo_sigmaC_M	215,132,109	#d7846d
Reov_VP3_GTase	212,135,114	#d48772
Reov_VP3_MTase1	154,70,47	#9a462f
Reov_VP3_MTase2	163,97,79	#a3614f
Reoviridae_Vp9	124,161,67	#7ca143
Reovirus_L2	85,148,216	#5594d8
Reovirus_L2_4th	226,113,82	#e27152
Reovirus_L2_6th	121,83,159	#79539f
Reovirus_L2_7th	128,88,167	#8058a7
Reovirus_L2_8th	135,98,171	#8762ab
Reovirus_L2_GTase	102,248,182	#66f8b6
Reovirus_L2_MT1	115,54,66	#733642
Reovirus_L2_MT2	165,69,87	#a54557
Reovirus_L2_N	196,98,71	#c46247
Reovirus_M2	139,63,42	#8b3f2a
Reovirus_Mu2	202,95,65	#ca5f41
Reovirus_bridge	145,92,77	#915c4d
Reovirus_cap	201,96,67	#c96043
Rep-A_N	122,32,148	#7a2094
Rep3_C	151,158,55	#979e37
Rep3_N	139,143,70	#8b8f46
RepA1_leader	202,130,110	#ca826e
RepA_C	204,210,108	#ccd26c
RepA_N	145,151,47	#91972f
RepB	198,204,113	#c6cc71
RepB-RCR_reg	74,101,143	#4a658f
RepB_C	160,80,58	#a0503a
RepB_primase	218,108,78	#da6c4e
RepB_primase_C	158,99,83	#9e6353
RepC	198,206,67	#c6ce43
RepD-like_N	158,211,110	#9ed36e
RepL	192,198,98	#c0c662
RepSA	174,116,63	#ae743f
Rep_1	240,158,84	#f09e54
Rep_1B	128,168,70	#80a846
Rep_2	85,228,225	#55e4e1
Rep_3	210,81,152	#d25198
Rep_4	146,67,45	#92432d
Rep_N	167,105,48	#a76930
